Date,SP500,DCOILWTICO,GOLDAMGBD228NLBM,DEXUSEU
02/01/14,1831.98,95.14,1219.75,1.367
03/01/14,1831.37,93.66,1232.25,1.3606
06/01/14,1826.77,93.12,1238,1.3636
07/01/14,1837.88,93.31,1237.5,1.3618
08/01/14,1837.49,91.9,1226.5,1.3586
09/01/14,1838.13,91.36,1226,1.3591
10/01/14,1842.37,92.39,1232.25,1.3664
13/01/14,1819.2,91.45,1246,1.3647
14/01/14,1838.88,92.15,1248.75,1.3682
15/01/14,1848.38,93.78,1238,1.3604
16/01/14,1845.89,93.54,1237.25,1.36
17/01/14,1838.7,93.96,1241,1.3554
20/01/14,#N/A,0,1254.75,0
21/01/14,1843.8,94.51,1247.75,1.356
22/01/14,1844.86,96.35,1239.5,1.3546
23/01/14,1828.46,97.23,1244.25,1.368
24/01/14,1790.29,96.66,1259.25,1.368
27/01/14,1781.56,95.82,1270,1.3679
28/01/14,1792.5,97.49,1253.5,1.3662
29/01/14,1774.2,97.34,1254.75,1.3663
30/01/14,1794.19,98.25,1254,1.3549
31/01/14,1782.59,97.55,1246.5,1.35
03/02/14,1741.89,96.44,1246.5,1.3523
04/02/14,1755.2,97.24,1253,1.3507
05/02/14,1751.64,97.4,1257,1.3519
06/02/14,1773.43,97.84,1258.5,1.3604
07/02/14,1797.02,99.98,1260,1.3614
10/02/14,1799.84,100.12,1273.5,1.3644
11/02/14,1819.75,99.96,1282.75,1.3654
12/02/14,1819.26,100.38,1286.5,1.3592
13/02/14,1829.83,100.27,1290.25,1.3669
14/02/14,1838.63,100.31,1308.5,1.369
17/02/14,#N/A,0,1326,0
18/02/14,1840.76,102.54,1314,1.3758
19/02/14,1828.75,103.46,1318.75,1.3762
20/02/14,1839.78,103.2,1313.75,1.369
21/02/14,1836.25,102.53,1320.75,1.3722
24/02/14,1847.61,103.17,1333,1.3744
25/02/14,1845.12,102.2,1332.75,1.3749
26/02/14,1845.16,102.93,1340,1.3668
27/02/14,1854.29,102.68,1331,1.3724
28/02/14,1859.45,102.88,1327.75,1.3806
03/03/14,1845.73,105.34,1344.25,1.3763
04/03/14,1873.91,103.64,1339.5,1.3731
05/03/14,1873.81,101.75,1333.5,1.3734
06/03/14,1877.03,101.82,1334.25,1.3848
07/03/14,1878.04,102.82,1348.25,1.3868
10/03/14,1877.17,101.39,1334.25,1.388
11/03/14,1867.63,100.29,1348,1.3867
12/03/14,1868.2,98.29,1355.75,1.3904
13/03/14,1846.34,98.57,1371,1.3927
14/03/14,1841.13,99.23,1370,1.3924
17/03/14,1858.83,98.43,1379,1.3927
18/03/14,1872.25,100.08,1362.5,1.3913
19/03/14,1860.77,100.71,1346,1.391
20/03/14,1872.01,99.68,1327,1.3784
21/03/14,1866.52,99.97,1338.5,1.3783
24/03/14,1857.44,100.05,1322,1.3784
25/03/14,1865.62,99.66,1314.75,1.3777
26/03/14,1852.56,100.61,1314.5,1.3786
27/03/14,1849.04,101.25,1295,1.3752
28/03/14,1857.62,101.73,1295.75,1.3753
31/03/14,1872.34,101.57,1294,1.3777
01/04/14,1885.52,99.69,1286.5,1.3804
02/04/14,1890.9,99.6,1284,1.3761
03/04/14,1888.77,100.29,1287.25,1.3708
04/04/14,1865.09,101.16,1293.5,1.3704
07/04/14,1845.04,100.43,1299,1.3745
08/04/14,1851.96,102.57,1314.75,1.3802
09/04/14,1872.18,103.55,1309.75,1.3816
10/04/14,1833.08,103.37,1321.5,1.3892
11/04/14,1815.69,103.68,1317.25,1.3898
14/04/14,1830.61,104.05,1324.5,1.3824
15/04/14,1842.98,103.7,1311.5,1.3806
16/04/14,1862.31,103.71,1299,1.382
17/04/14,1864.85,104.33,1299.25,1.3832
18/04/14,#N/A,0,0,1.3816
21/04/14,1871.89,104.35,0,1.379
22/04/14,1879.55,101.69,1290.75,1.3804
23/04/14,1875.39,101.47,1283.5,1.3814
24/04/14,1878.61,102.2,1283.5,1.3828
25/04/14,1863.4,100.85,1294.25,1.3838
28/04/14,1869.43,101.13,1302,1.3844
29/04/14,1878.33,101.56,1289.75,1.3808
30/04/14,1883.95,100.07,1292,1.387
01/05/14,1883.68,99.69,1283,1.3867
02/05/14,1881.14,100.09,1285,1.3864
05/05/14,1884.66,99.74,0,1.3884
06/05/14,1867.72,99.81,1308.5,1.3924
07/05/14,1878.21,101.06,1311,1.3917
08/05/14,1875.63,100.52,1291.25,1.3864
09/05/14,1878.48,100.32,1289,1.3763
12/05/14,1896.65,100.89,1292.75,1.376
13/05/14,1897.45,102.01,1292.75,1.3711
14/05/14,1888.53,102.63,1300.25,1.3718
15/05/14,1870.85,101.74,1303.75,1.3712
16/05/14,1877.86,102.31,1293.75,1.3708
19/05/14,1885.08,102.95,1301,1.3716
20/05/14,1872.83,102.8,1291.5,1.3702
21/05/14,1888.03,104.31,1292,1.3657
22/05/14,1892.49,104.03,1294.5,1.3652
23/05/14,1900.53,105.01,1292,1.3628
26/05/14,#N/A,0,0,0
